branch	ahead	behind	unique_cherry	date	subject
feat/doc-refid-check	1	86	1	2026-08-06	feat(docs): REF:ID validation in docs:map:check
feat/doc-refid-deeper	1	85	1	2026-08-06	feat(docs): REF:ID suggest CLI, placement, empty-href fill
feat/glossary-health	1	507	1	2026-08-01	feat: add glossary-health.ts registry health check script
feat/ledger-glossary-fix	2	425	2	2026-08-02	chore(bake): rebake domain-glossary with labeled accounting overlays
feat/ledger-residuals-polish	3	240	3	2026-08-05	test(partners): cover ledger color mappings
feat/odds-edge-depth	2	148	2	2026-08-06	feat(agent): deepen odds edges — correct arb, value, steam velocity
feat/partner-accounting-capture	2	442	2	2026-08-02	feat(partner): project partner_ledger into partners-ops bake
feat/partner-bookmaker-account	2	131	2	2026-08-06	docs(partners): govern bookmaker account resolution
feat/partner-brand-lifecycle	2	104	2	2026-08-06	fix(inventory): brand-ok opaque ruleId on WireTrapHit
feat/partner-dashboard-artifact-20260805	12	177	11	2026-08-06	fix(bun): enforce stable channel across partner tooling
feat/partner-inventory-wire-lint	4	113	4	2026-08-06	feat(docs): default lint-wires with no args to --hlp
feat/partner-out-capabilities	2	134	2	2026-08-06	docs(partners): govern out capability preflight
feat/partner-surface-deeper	2	99	2	2026-08-06	docs(lib): map partner-surface-fitness-evidence in docs Area
feat/partner-surface-docs-layer-d	2	110	2	2026-08-06	feat(docs): partner-surface Layer D domain isolation lint
feat/partner-surface-inventory-docs	4	111	4	2026-08-06	feat(docs): generate partner-surface inventory tables from linking metadata
feat/partner-wire-lint-generic	3	105	3	2026-08-06	feat(docs): portal hrefs for partner domains, brands, and desk codes
feat/portal-url-planes	5	514	5	2026-08-01	feat(harness): Prettier staged tests via isHarnessFormatPath
feat/soft-accounting-weave	3	543	2	2026-07-31	fix(portal): harden optional Soft joins
feat/telegram-notifications	7	338	7	2026-08-04	feat(portal): partner board — stale-bake badge + no-outs empty state
feat/tournament-snap-ownership	2	341	2	2026-08-04	fix(glossary): harden tournament snap parse, CLI flags, ownership lookup
fix/domain-sweep-resilience	3	424	3	2026-08-03	fix(harness): align domain sweep with Bun URL semantics
fix/failures-stale-board	2	424	2	2026-08-02	chore(bake): refresh failures board to live 836-test run
fix/resolve-bun-spawn-sweep	2	538	2	2026-07-31	fix(harness): route bunSpawnArgv through bunSpawnArgs
test/verbose-fetch-smoke	2	557	2	2026-07-31	test(harness): parameterize VERBOSE_FETCH smoke with timeout
